query_id,query,scene_id,source_dataset,query_type,relation,anchor,anchor_secondary,expected_object_ids,with_relation_top1,without_relation_top1,with_relation_hit_at_1,without_relation_hit_at_1,top1_changed,effect,relation_satisfied,relation_applied,validated_relation_change,relation_confidence,relation_source,relation_ranking_changed,relation_candidate_count
scannet_0086_00_nr3d_001,The correct trash can is on the wall and to the right of a tan paper towel dispenser.,scannet_0086_00,Nr3D,relational,right,tan paper towel dispenser,,13,13,13,True,True,False,neutral,False,False,False,0.0,unresolved,False,30
scannet_0086_00_nr3d_002,Choose the paper towel dispenser that is on top of the other dispenser.,scannet_0086_00,Nr3D,relational,above,other dispenser,,17,17,17,True,True,False,neutral,False,False,False,0.0,unresolved,False,30
scannet_0086_00_sr3d_plus_001,the bathroom stall that is closer to the window,scannet_0086_00,Sr3D+,relational,closest,window,,1,1,1,True,True,False,neutral,True,True,False,0.775969,relative_bbox_distance,False,9
scannet_0086_00_sr3d_plus_002,select the toilet that is farthest from the mirror,scannet_0086_00,Sr3D+,relational,farthest,mirror,,6,6,6,True,True,False,neutral,True,True,False,0.680476,relative_bbox_distance,False,5
scannet_0086_00_sr3d_plus_003,select the plant that is above the paper towel dispenser,scannet_0086_00,Sr3D+,relational,above,paper towel dispenser,,4,4,4,True,True,False,neutral,False,False,False,0.0,unresolved,False,30
scannet_0222_00_nr3d_001,The blue can that is between a gray can and the bunk beds.,scannet_0222_00,Nr3D,relational,between,gray can,bunk beds,16,0,0,False,False,False,neutral,,,False,,,False,43
scannet_0222_00_nr3d_002,"The door with the handle on the right side, which is also the door you use to enter and exit the room.",scannet_0222_00,Nr3D,relational,unparsed,,,24,24,24,True,True,False,neutral,,,False,,,False,0
scannet_0222_00_sr3d_plus_001,the bed that is close to the laundry hamper,scannet_0222_00,Sr3D+,relational,closest,laundry hamper,,0,0,0,True,True,False,neutral,True,True,False,0.854073,relative_bbox_distance,False,2
scannet_0222_00_sr3d_plus_002,select the door that is far from the dresser,scannet_0222_00,Sr3D+,relational,farthest,dresser,,3,24,24,False,False,False,neutral,False,False,False,0.0,bbox_3d,False,43
scannet_0222_00_sr3d_plus_003,choose the chair that is in the center of the laundry hamper and the backpack,scannet_0222_00,Sr3D+,relational,between,laundry hamper,backpack,7,7,6,True,False,True,beneficial,True,True,True,0.777104,bbox_3d,True,2
scannet_0378_00_nr3d_001,The yellow shelf not the gray shelf.,scannet_0378_00,Nr3D,relational,unparsed,,,38,0,0,False,False,False,neutral,,,False,,,False,0
scannet_0378_00_nr3d_002,The cup closest to the door.,scannet_0378_00,Nr3D,relational,closest,door,,31,31,31,True,True,False,neutral,False,False,False,0.537685,relative_bbox_distance,False,45
scannet_0378_00_sr3d_plus_001,find the desk that is near the door,scannet_0378_00,Sr3D+,relational,near,door,,0,0,0,True,True,False,neutral,False,False,False,0.449495,bbox_3d,False,45
scannet_0378_00_sr3d_plus_002,select the desk that is farthest from the door,scannet_0378_00,Sr3D+,relational,farthest,door,,35,0,0,False,False,False,neutral,False,False,False,0.0,bbox_3d,False,45
scannet_0378_00_sr3d_plus_003,find the monitor that is between the door and the window,scannet_0378_00,Sr3D+,relational,between,door,window,4,4,4,True,True,False,neutral,False,False,False,0.621732,bbox_3d,False,45
scannet_0389_00_nr3d_001,The white bag on the left.,scannet_0389_00,Nr3D,relational,unparsed,,,23,22,22,False,False,False,neutral,,,False,,,False,0
scannet_0389_00_nr3d_002,the chair closest to the TV,scannet_0389_00,Nr3D,relational,closest,tv,,2,2,2,True,True,False,neutral,True,True,False,0.702892,relative_bbox_distance,False,2
scannet_0389_00_sr3d_plus_001,choose the chair that is close to the cabinet,scannet_0389_00,Sr3D+,relational,closest,cabinet,,2,2,2,True,True,False,neutral,True,True,False,0.784189,relative_bbox_distance,False,2
scannet_0389_00_sr3d_plus_002,select the chair that is far from the cabinet,scannet_0389_00,Sr3D+,relational,farthest,cabinet,,3,3,2,True,False,True,beneficial,True,True,True,0.784189,relative_bbox_distance,True,2
scannet_0389_00_sr3d_plus_003,find the cabinet that is in the middle of the table and the trash can,scannet_0389_00,Sr3D+,relational,between,table,trash can,6,6,6,True,True,False,neutral,True,True,False,0.90847,bbox_3d,False,1
scannet_0435_00_nr3d_001,"The lamp that is at the end of the room between the brown curtains, with a black mini fridge on the left and a brown chair on the right.",scannet_0435_00,Nr3D,relational,between,brown curtains with black mini fridge on left,brown chair on right,50,38,38,False,False,False,neutral,False,False,False,0.0,unresolved,False,64
scannet_0435_00_nr3d_002,the picture is above the desk.,scannet_0435_00,Nr3D,relational,above,desk,,57,28,28,False,False,False,neutral,False,False,False,0.0,unresolved,False,64
scannet_0435_00_sr3d_plus_001,find the bed that is closer to the bathroom vanity,scannet_0435_00,Sr3D+,relational,closest,bathroom vanity,,10,10,10,True,True,False,neutral,True,True,False,0.78929,relative_bbox_distance,False,2
scannet_0435_00_sr3d_plus_002,select the bed that is farthest from the bathroom vanity,scannet_0435_00,Sr3D+,relational,farthest,bathroom vanity,,11,11,10,True,False,True,beneficial,True,True,True,0.78929,relative_bbox_distance,True,2
scannet_0435_00_sr3d_plus_003,the toilet that is between the desk and the bathtub,scannet_0435_00,Sr3D+,relational,between,desk,bathtub,12,12,12,True,True,False,neutral,False,False,False,0.395079,bbox_3d,False,64
